,title,price,link
10,"15.6"" Touch Screen Win11 Laptop,32GB DDR4 1TB SSD, N5095 Quad-core 2.9 GHz,Fingerprint and Backlit Keyboard Notebook PC,FHD 1920 * 1080 IPS,AC WiFi,Thin & Light,All-Metal Body,Gray  ",399.,https://amazon.in//sspa/click?ie=UTF8&spc=MTo3NzQ5NDYyNTU5MTMyNTg2OjE3Mjc1ODUzMTI6c3BfYnRmOjMwMDM2NTA1MjQxMTgwMjo6MDo6&url=%2FExilapsire-Quad-core-Fingerprint-Keyboard-All-Metal%2Fdp%2FB0DBZ2HHG8%2Fref%3Dsr_1_85_sspa%3Fdib%3DeyJ2IjoiMSJ9.KbiHPS7bFMegJBPm5hd4hRWJouanXvGWjKKtEtdgFHOyrfJb6or3X2N1ktgEgU4OdhWHW1YrkqNdpPWFR25ExVUrrQFXMSsRXYIu7KLe1eIXZj5s9mqM8R9A9RxElAauABRiRfVFyRoB3DSBD9wWLL9VGvxxMtZnhYtumu0MpGdw9rahco5UrzNg5Pj4y6Ouw1knvQaeE6RoiDwtZ6nff9WFV-TdKN6WQ6dV_xLrXzU.MVsVAR_LMRlGl_yHFMz-c1Ei3aEzAzAB4wXLUYQtilQ%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1727585312%26sr%3D8-85-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
11,"15.6"" Windows 11 Laptop, Intel Core i3-5005U, 16GB RAM, 512GB SSD, FHD IPS Display, 2.4G/5G WiFi, BT5.0, RJ45, Type C, Webcam, Long Battery Life - for Work, Study, and Entertainment  ",289.,https://amazon.in//sspa/click?ie=UTF8&spc=MTo3NzQ5NDYyNTU5MTMyNTg2OjE3Mjc1ODUzMTI6c3BfYnRmOjMwMDM2NTk3NDk5MzEwMjo6MDo6&url=%2FBiTECOOL-Windows-i3-5005U-Display-Battery%2Fdp%2FB0C8MYQRGB%2Fref%3Dsr_1_86_sspa%3Fdib%3DeyJ2IjoiMSJ9.KbiHPS7bFMegJBPm5hd4hRWJouanXvGWjKKtEtdgFHOyrfJb6or3X2N1ktgEgU4OdhWHW1YrkqNdpPWFR25ExVUrrQFXMSsRXYIu7KLe1eIXZj5s9mqM8R9A9RxElAauABRiRfVFyRoB3DSBD9wWLL9VGvxxMtZnhYtumu0MpGdw9rahco5UrzNg5Pj4y6Ouw1knvQaeE6RoiDwtZ6nff9WFV-TdKN6WQ6dV_xLrXzU.MVsVAR_LMRlGl_yHFMz-c1Ei3aEzAzAB4wXLUYQtilQ%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1727585312%26sr%3D8-86-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
12,"Fusion5 13th Gen 14.1"" Full HD Windows 11 Laptop - 512GB M.2 SSD Storage, 8GB DDR5 RAM, T90B Pro, N100 Quad Core, Dual WiFi, USB 3.0, 2MP, Webcam, 2023 Model  ",249.,https://amazon.in//sspa/click?ie=UTF8&spc=MTo1NDYyNTUwMDUxOTE4OTM0OjE3Mjc1ODUzMDE6c3BfbXRmOjMwMDE2MTA3NjY3MzEwMjo6MDo6&url=%2FFusion5-13th-14-1-Windows-Laptop%2Fdp%2FB0CCJPYQTL%2Fref%3Dsr_1_12_sspa%3Fdib%3DeyJ2IjoiMSJ9.BJj3Gip3fkpO1xh1vcDoNu-k0__0ALWwezBoPyugPX81lrRfSxNgyowhhgQ6eu_AK7V-zVyY41-L4Gx48cDa9hTN85orhWGbtQc5m_5i1fZFmtjLJA3zDNyjX4vH5uVuxh6GzS92P6D2hrNz5Hz-8bVJ0TMxO-bhcnrQLrb1ZjjNKwGxgcVTYdxT5mGb2PKCzV4UXfBLnbL8Iu09iRgCr0gmGfdw1TmWiM9-CoVP8-w.Kb0aBFtBnz-mLulv7dSG5CmLsdGurSH9smf2kXD453Y%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1727585300%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
13,"Laptop Cooling Pad Gaming Laptop Cooler Stand with 6 Cooling Fans, 7 Height Adjustable 12 RGB with 2 USB Silent Laptop Fan Cooling Pad for 12-17.3 Inch  ",39.,https://amazon.in//sspa/click?ie=UTF8&spc=MToyOTIyNjU1NDIzMzE5MTAyOjE3Mjc1ODUzMTY6c3BfYXRmX25leHQ6MzAwNDIzMjEyMTE4MzAyOjowOjo&url=%2FLaptop-Cooling-Gaming-Adjustable-12-17-3%2Fdp%2FB0DBQ7JTRH%2Fref%3Dsr_1_81_sspa%3Fdib%3DeyJ2IjoiMSJ9.NYXfZRQeKUmpkKbE9G1o2U16mb-8oMUik1MguelR5Dt4-dkAWI6ZrB6_eXf4QDf-DAp57HCPLu-haikfsnGALPscZyk3IZy5Sam19dMBPR-m80jTOYDjgq8kPcZqvtvwp4xiNkyAhWM6tF3dhU1tkkOdSsCHiAarMwYe3poZcRyTzWuOErwQWjmeVxhDi8uFYy2qx0Bf8cj8A-XCcPt3Fu3YVWMP6QlW7wuUTZqXlPQ.TkZ2ubkGD_RjgfkcvLI0HK8twPsAtCKKlnmeXaJ9lj4%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1727585316%26sr%3D8-81-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
14,"NETUM Wireless Barcode Scanner, 2 in 1 2.4G Wireless & USB Wired 1D Laser Barcode Reader Handheld Bar Code Reader Cordless Rechargeable Bar Code Scanner for Computer MAC Laptop (NT-1698W)  ",27.,https://amazon.in//sspa/click?ie=UTF8&spc=MToyOTIyNjU1NDIzMzE5MTAyOjE3Mjc1ODUzMTY6c3BfYXRmX25leHQ6MjAwMDEyOTM2MjAwNTUxOjowOjo&url=%2FNETUM-Wireless-Handheld-Rechargeable-NT-1698W%2Fdp%2FB06VXZ4TMT%2Fref%3Dsr_1_82_sspa%3Fdib%3DeyJ2IjoiMSJ9.NYXfZRQeKUmpkKbE9G1o2U16mb-8oMUik1MguelR5Dt4-dkAWI6ZrB6_eXf4QDf-DAp57HCPLu-haikfsnGALPscZyk3IZy5Sam19dMBPR-m80jTOYDjgq8kPcZqvtvwp4xiNkyAhWM6tF3dhU1tkkOdSsCHiAarMwYe3poZcRyTzWuOErwQWjmeVxhDi8uFYy2qx0Bf8cj8A-XCcPt3Fu3YVWMP6QlW7wuUTZqXlPQ.TkZ2ubkGD_RjgfkcvLI0HK8twPsAtCKKlnmeXaJ9lj4%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1727585316%26sr%3D8-82-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
15,"Lenovo Ideapad Laptop Touchscreen 15.6"" FHD, Intel Core i3-1215U 6-Core, 24GB RAM, 1TB SSD, Webcam, Bluetooth, Wi-Fi6, SD Card Reader, Windows 11, Grey, GM Accessories  ",519.,https://amazon.in//Lenovo-Touchscreen-i3-1215U-Bluetooth-Accessories/dp/B0D5H83FMV/ref=sr_1_86?dib=eyJ2IjoiMSJ9.NYXfZRQeKUmpkKbE9G1o2U16mb-8oMUik1MguelR5Dt4-dkAWI6ZrB6_eXf4QDf-DAp57HCPLu-haikfsnGALPscZyk3IZy5Sam19dMBPR-m80jTOYDjgq8kPcZqvtvwp4xiNkyAhWM6tF3dhU1tkkOdSsCHiAarMwYe3poZcRyTzWuOErwQWjmeVxhDi8uFYy2qx0Bf8cj8A-XCcPt3Fu3YVWMP6QlW7wuUTZqXlPQ.TkZ2ubkGD_RjgfkcvLI0HK8twPsAtCKKlnmeXaJ9lj4&dib_tag=se&keywords=laptop&qid=1727585316&sr=8-86
16,"Laptop Computer with AMD Ryzen 7 5700U Processor(8C/16T, Up to 4.3Ghz), 32GB RAM 1TB NVMe SSD, 15.6"" FHD Display Gaming Laptop with Backlit Keyboard, Fingerprint Reader, USB3.0x2, Type-C  ",479.,https://amazon.in//KurieTim-Computer-Processor-Keyboard-Fingerprint/dp/B0D8KJ8ZFP/ref=sr_1_87?dib=eyJ2IjoiMSJ9.NYXfZRQeKUmpkKbE9G1o2U16mb-8oMUik1MguelR5Dt4-dkAWI6ZrB6_eXf4QDf-DAp57HCPLu-haikfsnGALPscZyk3IZy5Sam19dMBPR-m80jTOYDjgq8kPcZqvtvwp4xiNkyAhWM6tF3dhU1tkkOdSsCHiAarMwYe3poZcRyTzWuOErwQWjmeVxhDi8uFYy2qx0Bf8cj8A-XCcPt3Fu3YVWMP6QlW7wuUTZqXlPQ.TkZ2ubkGD_RjgfkcvLI0HK8twPsAtCKKlnmeXaJ9lj4&dib_tag=se&keywords=laptop&qid=1727585316&sr=8-87
17,"Acer 2024 Newest Everyday 15.6 inch Laptop, AMD Ryzen 7 5700U, 16GB RAM, 512GB SSD, Wi-Fi 6, Webcam, Windows 11 Pro  ",489.,https://amazon.in//Newest-Everyday-Laptop-Webcam-Windows/dp/B0D14PWZ5B/ref=sr_1_88?dib=eyJ2IjoiMSJ9.NYXfZRQeKUmpkKbE9G1o2U16mb-8oMUik1MguelR5Dt4-dkAWI6ZrB6_eXf4QDf-DAp57HCPLu-haikfsnGALPscZyk3IZy5Sam19dMBPR-m80jTOYDjgq8kPcZqvtvwp4xiNkyAhWM6tF3dhU1tkkOdSsCHiAarMwYe3poZcRyTzWuOErwQWjmeVxhDi8uFYy2qx0Bf8cj8A-XCcPt3Fu3YVWMP6QlW7wuUTZqXlPQ.TkZ2ubkGD_RjgfkcvLI0HK8twPsAtCKKlnmeXaJ9lj4&dib_tag=se&keywords=laptop&qid=1727585316&sr=8-88
18,"HP Envy x360 2-in-1 14"" FHD Touchscreen Laptop, Intel Core i7-1355U, 16GB RAM, 1TB SSD, Backlit Keyboard, 5MP Camera, Fingerprint Reader, Wi-Fi 6E, Win 11, Silver  ",769.,https://amazon.in//HP-2-1-Touch-Screen-i7-16GB/dp/B0C4HNM8L4/ref=sr_1_89?dib=eyJ2IjoiMSJ9.NYXfZRQeKUmpkKbE9G1o2U16mb-8oMUik1MguelR5Dt4-dkAWI6ZrB6_eXf4QDf-DAp57HCPLu-haikfsnGALPscZyk3IZy5Sam19dMBPR-m80jTOYDjgq8kPcZqvtvwp4xiNkyAhWM6tF3dhU1tkkOdSsCHiAarMwYe3poZcRyTzWuOErwQWjmeVxhDi8uFYy2qx0Bf8cj8A-XCcPt3Fu3YVWMP6QlW7wuUTZqXlPQ.TkZ2ubkGD_RjgfkcvLI0HK8twPsAtCKKlnmeXaJ9lj4&dib_tag=se&keywords=laptop&qid=1727585316&sr=8-89
19,"ASUS Laptop Computer, 14"" FHD Display laptops, Intel Core i3-1215U, 16GB RAM, 1TB SSD, Webcam, Bluetooth, Wi-Fi, Windows 11 Pro, RK Data Cable, for College and School, Light-Weight, Quiet Blue  ",419.,https://amazon.in//ASUS-Computer-i3-1215U-Bluetooth-Light-Weight/dp/B0CWH5Y19L/ref=sr_1_90?dib=eyJ2IjoiMSJ9.NYXfZRQeKUmpkKbE9G1o2U16mb-8oMUik1MguelR5Dt4-dkAWI6ZrB6_eXf4QDf-DAp57HCPLu-haikfsnGALPscZyk3IZy5Sam19dMBPR-m80jTOYDjgq8kPcZqvtvwp4xiNkyAhWM6tF3dhU1tkkOdSsCHiAarMwYe3poZcRyTzWuOErwQWjmeVxhDi8uFYy2qx0Bf8cj8A-XCcPt3Fu3YVWMP6QlW7wuUTZqXlPQ.TkZ2ubkGD_RjgfkcvLI0HK8twPsAtCKKlnmeXaJ9lj4&dib_tag=se&keywords=laptop&qid=1727585316&sr=8-90
